Node,Day,Value
AL,1,-999
AZ,1,-999
AR,1,-999
CA,1,-999
CO,1,-999
CT,1,-999
DC,1,-999
DE,1,-999
FL,1,-999
GA,1,-999
ID,1,-999
IL,1,-999
IN,1,-999
IA,1,-999
KS,1,-999
KY,1,-999
LA,1,-999
ME,1,-999
MD,1,-999
MA,1,-999
MI,1,-999
MN,1,-999
MS,1,-999
MO,1,-999
MT,1,-999
NE,1,-999
NV,1,-999
NH,1,-999
NJ,1,-999
NM,1,-999
NY,1,-999
NC,1,-999
ND,1,-999
OH,1,-999
OK,1,-999
OR,1,-999
PA,1,-999
RI,1,-999
SC,1,-999
SD,1,-999
TN,1,-999
TX,1,-999
UT,1,-999
VA,1,-999
VT,1,-999
WA,1,-999
WV,1,-999
WI,1,-999
WY,1,-999
ME_CN_E,1,-999
NH_CN_E,1,-999
VT_CN_E,1,-999
NY_CN_E,1,-999
MI_CN_E,1,-999
MN_CN_W,1,-999
ND_CN_W,1,-999
MT_CN_W,1,-999
ID_CN_W,1,-999
WA_CN_W,1,-999
TX_MX_NE,1,-999
AZ_MX_NW,1,-999
CA_MX_NW,1,-999
TX_MX_SS,1,-999
MX_NE,1,-999
MX_NW,1,-999
MX_IW,1,-999
MX_CE,1,-999
MX_SS,1,-999
CN_E,1,-999
CN_W,1,-999
AL,2,-999
AZ,2,-999
AR,2,-999
CA,2,-999
CO,2,-999
CT,2,-999
DC,2,-999
DE,2,-999
FL,2,-999
GA,2,-999
ID,2,-999
IL,2,-999
IN,2,-999
IA,2,-999
KS,2,-999
KY,2,-999
LA,2,-999
ME,2,-999
MD,2,-999
MA,2,-999
MI,2,-999
MN,2,-999
MS,2,-999
MO,2,-999
MT,2,-999
NE,2,-999
NV,2,-999
NH,2,-999
NJ,2,-999
NM,2,-999
NY,2,-999
NC,2,-999
ND,2,-999
OH,2,-999
OK,2,-999
OR,2,-999
PA,2,-999
RI,2,-999
SC,2,-999
SD,2,-999
TN,2,-999
TX,2,-999
UT,2,-999
VA,2,-999
VT,2,-999
WA,2,-999
WV,2,-999
WI,2,-999
WY,2,-999
ME_CN_E,2,-999
NH_CN_E,2,-999
VT_CN_E,2,-999
NY_CN_E,2,-999
MI_CN_E,2,-999
MN_CN_W,2,-999
ND_CN_W,2,-999
MT_CN_W,2,-999
ID_CN_W,2,-999
WA_CN_W,2,-999
TX_MX_NE,2,-999
AZ_MX_NW,2,-999
CA_MX_NW,2,-999
TX_MX_SS,2,-999
MX_NE,2,-999
MX_NW,2,-999
MX_IW,2,-999
MX_CE,2,-999
MX_SS,2,-999
CN_E,2,-999
CN_W,2,-999
